;Scopy version,v1.2.0,,,
;Exported on,Wednesday February 24/02/2021,,,
;Device,M2K,,,
;Nr of samples,1.00E+03,,,
;Sample rate,0.00E+00,,,
;Tool,Network Analyzer,,,
;Additional Information,Reference channel: 1,,,
Sample,Frequency(Hz),Magnitude(dB),Phase(°),Amplitude
310,8.53E+02,-3.41856,-46.1584,6.75E-01
311,8.59E+02,-3.58593,-47.4915,6.62E-01
312,8.65E+02,-3.54601,-47.0442,6.65E-01
313,8.71E+02,-3.40901,-47.4407,6.75E-01
314,8.77E+02,-3.50314,-47.5614,6.68E-01
315,8.83E+02,-3.63023,-47.9263,6.58E-01
316,8.89E+02,-3.59889,-47.4484,6.61E-01
317,8.95E+02,-3.52542,-48.5682,6.66E-01
318,9.01E+02,-3.78729,-48.7012,6.47E-01
319,9.08E+02,-3.74585,-48.6584,6.50E-01
320,9.14E+02,-3.82348,-49.5209,6.44E-01
321,9.20E+02,-3.75634,-49.0923,6.49E-01
322,9.27E+02,-3.87343,-49.1278,6.40E-01
323,9.33E+02,-3.83203,-48.6212,6.43E-01
324,9.40E+02,-3.94777,-48.8167,6.35E-01
325,9.46E+02,-4.0071,-49.9635,6.30E-01
326,9.53E+02,-4.08639,-50.5908,6.25E-01
327,9.59E+02,-4.05034,-50.9662,6.27E-01
328,9.66E+02,-4.02629,-50.6603,6.29E-01
329,9.73E+02,-4.13583,-50.528,6.21E-01
330,9.79E+02,-4.12645,-51.6464,6.22E-01
331,9.86E+02,-4.15607,-51.9307,6.20E-01
332,9.93E+02,-4.10684,-51.5555,6.23E-01
333,1.00E+03,-4.23056,-51.2523,6.14E-01
334,1.01E+03,-4.26247,-51.259,6.12E-01
335,1.01E+03,-4.29527,-52.0582,6.10E-01
336,1.02E+03,-4.31615,-51.9445,6.08E-01
337,1.03E+03,-4.35398,-52.3668,6.06E-01
338,1.04E+03,-4.36092,-52.5675,6.05E-01
339,1.04E+03,-4.44392,-52.4777,6.00E-01
340,1.05E+03,-4.51138,-52.7563,5.95E-01
341,1.06E+03,-4.50729,-53.2034,5.95E-01
342,1.06E+03,-4.55356,-52.9801,5.92E-01
343,1.07E+03,-4.57985,-52.9031,5.90E-01
344,1.08E+03,-4.64235,-53.6936,5.86E-01
345,1.09E+03,-4.65548,-53.6122,5.85E-01
346,1.09E+03,-4.66478,-53.431,5.84E-01
347,1.10E+03,-4.71718,-54.1083,5.81E-01
348,1.11E+03,-4.75714,-54.1363,5.78E-01
349,1.12E+03,-4.76664,-54.6349,5.78E-01
350,1.12E+03,-4.84542,-54.4283,5.72E-01
351,1.13E+03,-4.89209,-55.0119,5.69E-01
352,1.14E+03,-4.91994,-54.527,5.68E-01
353,1.15E+03,-4.98468,-54.9751,5.63E-01
354,1.16E+03,-4.99706,-55.7252,5.63E-01
355,1.16E+03,-5.0355,-55.5102,5.60E-01
356,1.17E+03,-5.05354,-55.7203,5.59E-01
357,1.18E+03,-5.11434,-56.0488,5.55E-01
358,1.19E+03,-5.181,-56.0414,5.51E-01
359,1.20E+03,-5.29656,-56.2006,5.43E-01
360,1.21E+03,-5.26324,-56.2543,5.46E-01
361,1.21E+03,-5.34142,-56.0762,5.41E-01
362,1.22E+03,-5.37614,-56.604,5.39E-01
363,1.23E+03,-5.34158,-56.715,5.41E-01
364,1.24E+03,-5.38751,-57.2032,5.38E-01
365,1.25E+03,-5.44532,-57.2558,5.34E-01
366,1.26E+03,-5.50572,-57.2181,5.31E-01
367,1.27E+03,-5.56232,-57.5069,5.27E-01
368,1.27E+03,-5.60165,-57.6873,5.25E-01
369,1.28E+03,-5.67692,-57.3806,5.20E-01
370,1.29E+03,-5.66303,-57.5025,5.21E-01
371,1.30E+03,-5.69524,-57.7105,5.19E-01
372,1.31E+03,-5.83126,-58.5746,5.11E-01
373,1.32E+03,-5.75135,-58.625,5.16E-01
374,1.33E+03,-5.80621,-58.9469,5.12E-01
375,1.34E+03,-5.93678,-59.2208,5.05E-01
376,1.35E+03,-5.9945,-59.2886,5.02E-01
377,1.36E+03,-6.019,-58.8858,5.00E-01
378,1.37E+03,-6.06849,-59.1051,4.97E-01
379,1.37E+03,-6.03516,-59.6841,4.99E-01
380,1.38E+03,-6.07787,-59.6384,4.97E-01
381,1.39E+03,-6.22741,-59.8957,4.88E-01
382,1.40E+03,-6.27025,-60.1551,4.86E-01
383,1.41E+03,-6.21325,-60.3952,4.89E-01
384,1.42E+03,-6.33768,-60.7222,4.82E-01
385,1.43E+03,-6.33176,-60.9879,4.82E-01
386,1.44E+03,-6.33757,-60.9192,4.82E-01
387,1.45E+03,-6.44778,-60.3644,4.76E-01
388,1.46E+03,-6.56812,-60.9607,4.69E-01
389,1.47E+03,-6.60618,-61.5554,4.67E-01
390,1.48E+03,-6.56457,-62.0309,4.70E-01
391,1.49E+03,-6.64657,-62.2065,4.65E-01
392,1.50E+03,-6.67449,-61.6831,4.64E-01
393,1.51E+03,-6.71542,-61.9058,4.62E-01
394,1.52E+03,-6.75384,-61.933,4.60E-01
395,1.54E+03,-6.79478,-62.0167,4.57E-01
396,1.55E+03,-6.87538,-62.5472,4.53E-01
397,1.56E+03,-6.93541,-62.8339,4.50E-01
398,1.57E+03,-6.90827,-62.27,4.51E-01
399,1.58E+03,-7.0727,-63.138,4.43E-01
400,1.59E+03,-6.97012,-62.5638,4.48E-01
401,1.60E+03,-7.2099,-62.7658,4.36E-01
402,1.61E+03,-7.14849,-63.1693,4.39E-01
403,1.62E+03,-7.21384,-63.5632,4.36E-01
404,1.63E+03,-7.20412,-63.2993,4.36E-01
405,1.65E+03,-7.2716,-63.2307,4.33E-01
406,1.66E+03,-7.28598,-64.3514,4.32E-01
407,1.67E+03,-7.39207,-63.2526,4.27E-01
408,1.68E+03,-7.42096,-64.1445,4.26E-01
409,1.69E+03,-7.46349,-64.0793,4.23E-01
410,1.70E+03,-7.5803,-64.6237,4.18E-01
411,1.71E+03,-7.49012,-64.4983,4.22E-01
412,1.73E+03,-7.5629,-65.2889,4.19E-01
413,1.74E+03,-7.67719,-64.8787,4.13E-01
414,1.75E+03,-7.69738,-65.1599,4.12E-01
415,1.76E+03,-7.72787,-65.4355,4.11E-01
416,1.78E+03,-7.73556,-65.4556,4.10E-01
417,1.79E+03,-7.99116,-65.6413,3.99E-01
418,1.80E+03,-7.90922,-65.6338,4.02E-01
419,1.81E+03,-8.0203,-65.5564,3.97E-01
420,1.82E+03,-8.07368,-66.3316,3.95E-01
421,1.84E+03,-8.07922,-65.2309,3.94E-01
422,1.85E+03,-8.10537,-66.0785,3.93E-01
423,1.86E+03,-8.1496,-66.0112,3.91E-01
424,1.88E+03,-8.17565,-65.9807,3.90E-01
425,1.89E+03,-8.26474,-65.6905,3.86E-01
426,1.90E+03,-8.31987,-66.6048,3.84E-01
427,1.92E+03,-8.39141,-66.4323,3.81E-01
428,1.93E+03,-8.53417,-67.1593,3.74E-01
429,1.94E+03,-8.43131,-68.0741,3.79E-01
430,1.96E+03,-8.5449,-67.495,3.74E-01
431,1.97E+03,-8.59982,-67.9651,3.72E-01
432,1.98E+03,-8.64257,-66.6611,3.70E-01
433,2.00E+03,-8.70017,-67.7533,3.67E-01
434,2.01E+03,-8.68466,-68.2433,3.68E-01
435,2.02E+03,-8.65423,-67.8047,3.69E-01
436,2.04E+03,-8.85301,-68.0671,3.61E-01
437,2.05E+03,-8.91852,-68.5463,3.58E-01
438,2.07E+03,-9.0073,-69.058,3.55E-01
439,2.08E+03,-8.99049,-68.4562,3.55E-01
440,2.10E+03,-9.1165,-68.5609,3.50E-01
441,2.11E+03,-9.0569,-67.8792,3.52E-01
442,2.12E+03,-9.13827,-68.9728,3.49E-01
443,2.14E+03,-9.27701,-69.2566,3.44E-01
444,2.15E+03,-9.3097,-68.2308,3.42E-01
445,2.17E+03,-9.27619,-69.3419,3.44E-01
446,2.18E+03,-9.25865,-69.1064,3.44E-01
447,2.20E+03,-9.41703,-68.3466,3.38E-01
448,2.21E+03,-9.39696,-69.53,3.39E-01
449,2.23E+03,-9.53419,-70.5018,3.34E-01
450,2.25E+03,-9.54977,-69.8302,3.33E-01
451,2.26E+03,-9.60966,-69.4144,3.31E-01
452,2.28E+03,-9.56994,-69.2064,3.32E-01
453,2.29E+03,-9.67348,-70.4973,3.28E-01
454,2.31E+03,-9.70858,-69.6113,3.27E-01
455,2.32E+03,-9.80645,-70.5208,3.23E-01
456,2.34E+03,-9.92353,-70.0553,3.19E-01
457,2.36E+03,-10.0838,-70.6752,3.13E-01
458,2.37E+03,-9.93741,-70.9894,3.19E-01
459,2.39E+03,-10.1149,-71.6401,3.12E-01
460,2.41E+03,-10.0661,-70.939,3.14E-01
461,2.42E+03,-10.211,-71.6771,3.09E-01
462,2.44E+03,-10.3797,-71.5709,3.03E-01
463,2.46E+03,-10.2523,-72.0027,3.07E-01
464,2.47E+03,-10.226,-72.6285,3.08E-01
465,2.49E+03,-10.4009,-71.3414,3.02E-01
466,2.51E+03,-10.2628,-71.6056,3.07E-01
467,2.53E+03,-10.4799,-72.0803,2.99E-01
468,2.54E+03,-10.4079,-71.651,3.02E-01
469,2.56E+03,-10.6039,-71.8905,2.95E-01
470,2.58E+03,-10.5676,-72.6589,2.96E-01
471,2.60E+03,-10.6998,-72.2187,2.92E-01
472,2.61E+03,-10.6685,-72.7556,2.93E-01
473,2.63E+03,-10.61,-72.0515,2.95E-01
474,2.65E+03,-10.8171,-73.0676,2.88E-01
475,2.67E+03,-10.7726,-71.6974,2.89E-01
476,2.69E+03,-10.9409,-73.3324,2.84E-01
477,2.71E+03,-10.8316,-72.4538,2.87E-01
478,2.73E+03,-11.1149,-72.4025,2.78E-01
